Garfield	4	27	Cula4	The mice that live at Jon's house come out of hiding each night to watch TV. 	Tagann na lucha atá ag fanacht Tigh Jon amach gach oíche chun féachaint ar an teilifís.
Whiz sa Chistin	1	18	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Haylee and Luke 	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Haylee agus Luke aghaidh ar Alex agus ar Aoife.
Whiz sa Chistin	1	17	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Jack and Neasa c	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Jack agus Neasa aghaidh ar Mhicheál agus ar Aisling.
Whiz sa Chistin	1	18	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Haylee and Luke 	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Haylee agus Luke aghaidh ar Alex agus ar Aoife.
Whiz sa Chistin	1	17	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Jack and Neasa c	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Jack agus Neasa aghaidh ar Mhicheál agus ar Aisling.
Whiz sa Chistin	1	16	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Hugh and Daniel 	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Hugh agus Daniel aghaidh ar Matthew agus ar Fhionn.
Whiz sa Chistin	1	15	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Aoife and Róisín	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Aoife agus Róisín aghaidh ar Ella agus ar Bhríd.
Saol Faoi Shráid	1	25	Cula4	It’s Christmas and Ribín & Glibín want to give each other a present.   Things work out for them in the end with Cicí’s help and Cicí learns that love is the best present of all.  
	Sraith puipéadóireachta do ghasúir réamhscoile. Bí i dteannta Ghlibín agus Ribín, carachtair ó dhomhan eile a thuairteann ar an domhan seo ina spáslong. Tá cónaí anois orthu faoin tsráid agus tá cairde nua acu; Cicí, Rocco & Dris a bhfuil banna rac ceoil acu; “Na feithidí “. Bíonn fadhb le réiteach ag Ribín & ag Glibín i ngach clár agus éiríonn leo le cabhair ó dhaoine óga a bhfuil cónaí orthu os cionn na sráide. Beidh neart amhrán nua-chumtha, scéalta idir nua agus aitheanta ó litríocht na Gaeilge agus spraoi.
Saol Faoi Shráid	1	24	Cula4	Har! Har! Ribín and Glibín have been captured by the Pirates.  Will they manage to escape? Ribín isn’t very hopeful but then Glibín thinks of a great plan…… 
	Har! Har! Tá Ribín agus Glibín fuadaithe ag foghlaithe mara. An féidir leo éalú? Ní bhíonn mórán dóchais ag Ribín go dtí go smaoiníonn Glibín ar phlean.
Saol Faoi Shráid	1	23	Cula4	Ribín is delighted when she is given a magic ring. This ring has amazing powers and can make your dreams come true.  Not everything works out the way you might hope however, as poor Ribín finds out.
	Bíonn ríméad ar Ribín nuair a fhaigheann sí fáinne draíochta. Is fáinne draíochta é a thugann mian do chroí duit ach ní mar a shíltear a bhítear i gcónaí, ceacht a fhoghlaimíonn Ribín bhocht. 
Saol Faoi Shráid	1	22	Cula4	There’s a thief in the underground world. Rocco’s Balloon has disappeared. Who took it? Dris is on the scene to investigate. Above ground, Ribín's young friends are busy spying.
	Tá gadaí thíos faoin tsráid! Ghoid sé balún Rocco. Ach cé hé féin?  Tá an bleachtaire Dris in aice láimhe agus bí cinnte go mbeidh freagra na ceiste aigesean! Os cionn sráide, tá cairde Ribín & Glibín ag spiaireacht. 

Saol Faoi Shráid	1	21	Cula4	It’s April Fool’s Day and Ribín and Glibín want to play a trick on her friends. But perhaps she plays the trick once too often. Poor Ribín
	Lá na nAmadán atá ann agus tá Ribín ag iarraidh cleas a imirt ar a cuid cairde. Ach filleann an feall ar an bhfeallaire. Ribín bhocht! Tá cairde Ribín & Ghlibín ag imirt cleas os cionn sráide chomh maith. 
Saol Faoi Shráid	1	20	Cula4	It’s Cicí’s Birthday. Rocco makes a beautiful birthday cake for her. Ribín and Glibín drop the cake by accident. Will they manage to replace the cake before the party? 
	Breithlá Chicí atá ann agus déanann Rocco cáca álainn di. Ach milleann Ribín agus Glibín é trí thimpiste. An féidir leo cáca eile a dhéanamh in am don chóisir?

Saol Faoi Shráid	1	19	Cula4	Ribín breaks Dris’ drum by accident. Will they be able to replace it? And will they be able to replace it before the big concert? 
	Briseann Ribín druma Dhris trí thimpiste. An féidir leo an ceol céanna a bhaint as rud éigin eile?  Agus an féidir é a dhéanamh in am don cheolchoirm mhór?

Saol Faoi Shráid	1	18	Cula4	Stone Soup? Is it even possible? Cicí, Ribín & co. discover that maybe it is possible to make soup from a stone with a little bit of co-operation and kindness. 
	An féidir anraith a dhéanamh as clocha? Is féidir, is cosúil, má bhíonn gach duine go deas lena chéile agus má bhíonn gach duine sásta cúnamh a thabhairt. Os cionn sráide, bíonn neart le foghlaim ag Ribín & Glibín faoi bheith ag obair as lámh a chéile.
Saol Faoi Shráid	1	17	Cula4	Ribín & Glibín hear the story of the Salmon of Knowledge for the first time.  We see the story re-enacted with the cast below ground.  Ribín wonders what it would be like to be as smart as Fionn Mac C	Cloiseann Ribín & Glibín an scéal faoin mBradán Feasa den chéad uair. Bíonn siad an-tógtha leis an scéal. Ba mhaith le Ribín a bheith chomh cliste le Fionn Mac Cumhaill. 

Saol Faoi Shráid	1	16	Cula4	Ribín’s imagination runs away with her. She imagines a sequence of events that lead to a fairytale ending, that is until the others bring her back to reality.  Meanwhile, above ground, there’s the mat	Tá an tsamhlaíocht ag fáil an cheann is fearr ar Ribín! Os cionn sráide, tá uibheacha ar iarraidh. Meas tú cé a ghoid iad? 
Saol Faoi Shráid	1	15	Cula4	Ribín is making a present for Glibín as a surprise. Glibín can’t figure out why Ribín is avoiding him and his feelings are hurt. He is very lonely without her..	Tá Ribín ag déanamh bronntanais do Ghlibín i ngan fhios dó. Ceapann Glibín gurb é nach bhfuil sí mór leis níos mó agus bíonn sé an-uaigneach dá huireasa.
Saol Faoi Shráid	1	12	Cula4	Each of the friends below ground need something but they don’t have any money. The funny thing is that each of them have got items that they want to throw away as well. Perhaps a bit of swapping and c	Tá rudaí nua de dhíth ar gach duine dár gcairde thíos faoin tsráid ach níl aon phingin acu. Tá daoine eile ag caitheamh rudaí amach.  An bhfuil réiteach na faidhbe os a gcomhair amach?
Saol Faoi Shráid	1	11	Cula4	Glibín would like to be a Superhero but he doesn’t think he has  any super powers. His friends show him that maybe he does have a special power after all and that he is better than any superhero! 
	Ba mhaith le Glibín a bheith ina shárlaoch ach níl aon chumhacht speisialta aige! Taispeánann a chairde dó go bhfuil cumhacht iontach aige agus go bhfuil sé níos fearr ná sárlaoch ar bith. 
Saol Faoi Shráid	1	10	Cula4	A Phone falls down the drain from the street above. It’s little Red Riding Hood’s phone. Will Ribín & Glibín be able to prevent the Wolf from meeting up with Little Red Riding Hood and change the endi	Titeann fón anuas den tsráid. Fón Chochaillín Dearg atá ann. An féidir le Ribín agus Glibín í a thabhairt slán ón mac tíre?
Saol Faoi Shráid	1	9	Cula4	Cící participates in a big singing competition. On her return, she hurts Ribín’s feelings. She is a big star now. She doesn’t have any time for her friend. But then, she loses her voice after too much	Nuair a thagann Cící abhaile ó chomórtas amhránaíochta ní bhíonn sí róchairdiúil le Ribín.  Is réalta mhór anois í.  Níl am aici le bheith ag caint lena cara. Ach ansin cailleann sí a guth. An mbeidh Ribín sásta cabhrú léi?  Beidh cairde le Ribín & Glibín os cionn sráide ag canadh sa seomra ranga freisin. 

Saol Faoi Shráid	1	8	Cula4	Cící writes a play with Glibín in the main part! The story of Oisín & Niamh as we have never heard it before.  Cicí is quite the bossy director! 
	Scríobhann Cící dráma agus is ag Glibín a bhíonn an phríomhpháirt! Scéal Oisín agus Niamh atá ann ach ní mar a chuala muid cheana é! Baineann Cící an-taitneamh as a ról mar stiúrthóir. Tá na daoine óga os cionn na sráide ag cleachtadh do dhráma freisin! 

Saol Faoi Shráid	1	7	Cula4	Ribin & Glibín have never seen snow before. They are amazed. Ribín discovers a snowman in the garden and takes him inside so that he won't be cold. It's a good job that her brother Glibín is around to	Ní fhaca Ribín ná Glibín sneachta riamh. Tagann Ribín ar fhear sneachta sa ghairdín agus tugann sí isteach taobh istigh é. Is maith an rud é go bhfuil deartháir aici le gach rud a chur ina cheart arís.  Tá go leor le foghlaim ag Glibín faoi shneachta óna chairde os cionn sráide. 

Saol Faoi Shráid	1	6	Cula4	Who is throwing rubbish everywhere? Glibín is not one bit happy. It’s a good job that the Superhero ‘Croí Mór’ comes for a visit and figures out who the culprits are. 
	Cé atá ag caitheamh bruscair ar fud na háite? Níl Glibín sásta faoi seo ar chor ar bith. Is maith an rud é go bhfuil an sárlaoch ‘Croí Mór’ ann chun gach rud a chur ina cheart.  Idir an dá linn, casann Ribín le cairde os cionn sráide atá ag déanamh róbait as bruscar.
Saol Faoi Shráid	1	5	Cula4	The re-telling of the story of Labhraidh Loinseach. The King has a secret. His ears are like those of a horse and that’s why he always has to chase away his barbers. 	Athinsint ar scéal Labhraidh Loinseach. Tá rún ag an rí. Tá cluasa capaill air agus sin é an fáth nach ligfidh sé cead d’aon duine a ghruaig a bhearradh. Nuair a fhaigheann Eoin post mar ghruagaire ní bhíonn a mháthair ró-shásta. Insíonn Ribín & Glibín an scéal dá gcairde os cionn sráide.
Saol Faoi Shráid	1	4	Cula4	Ribín and Glibín go on a picnic together. Ribín had an amazing day but poor Glibín had a terrible day. How could this be? Cící gets to the bottom of things! 

	Téann Ribín agus Glibín ar phicnic. Bíonn an-lá ag Ribín ach bíonn fíor-dhrochlá ag Glibín. Cén chaoi ar tharla sé sin? Faigheann Cící amach faoi gach rud a tharla!
Saol Faoi Shráid	1	3	Cula4	The story of The Three Little Pigs as you have never heard it before.   In this story the Big Bad Wolf tells his side of the story and it seems that none of it was his fault at all.. Poor wolf. 
	Sraith puipéadóireachta do ghasúir réamhscoile. Scéal na Trí Mhuc á insint ag an mac tíre dána. 
Saol Faoi Shráid	1	2	Cula4	It’s Halloween and what a night! Poor Ribín can not sleep. Strange noises can be heard from all over the house. 	Oíche Shamhna atá ann agus níl Ribín bhocht in ann codladh ag torann aisteach atá ar fud an tí.
Saol Faoi Shráid	1	1	Cula4	Ribín wants to play music with Rocco but there is a major problem. Ribín’s music is awful. 	Ba mhaith le Ribín dul ag ceol in éineacht le Rocco ach níl aon cheol aici. 
Saol Faoi Shráid	1	13	Cula4	Ribín & Glibín discover a beanstalk. Their curiosity gets the better of them and they climb to the top. They get their heart’s desire but not in the way they had imagined. 
	Tagann Ribín agus Glibín ar ghas pónaire. Ar ndóigh caithfidh siad é a dhreapadh go bhfeicfidh siad céard atá ag a bharr. Faigheann siad mian a gcroíthe ach ní mar a shíltear a bítear.

Dochreidte Gan Dabht	3	4	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world including real life cowboy Will Roberts. Will is attempting records involving guns	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh - an buachaill bó, Will Roberts ina measc a bheidh ag tabhairt faoi churiarrachtaí le gunnaí agus rópaí. Á chur i láthair ag Eoghan Ó Loideáin.
Gearóid na Gaisce	1	26	Cula4	Talon plants a freezing device on the Gadget-bus.	Cuireann Dealg gaireas reoite i mbus Gaisce.
Gearóid na Gaisce	1	25	Cula4	The gang time travels to turn Dr. Claw before evil can take hold.	Téann an gheaing siar san am ag féachaint le duine deas a dhéanamh den Dochtúir Damanta.
Gearóid na Gaisce	1	24	Cula4	Gadget's team competes on a Japanese game show hosted by MADcat.	Glacann Gaisce páirt i dtráth na gceist Seapánach á chur i láthair ag an gcat damanta.
Gearóid na Gaisce	1	23	Cula4	MAD uses a device to switch Brain and MADcat's bodies.	Úsáideann Dealg uirlis thástála le colainn Ghlic agus an cat damanta a bhabhtáil.
Gearóid na Gaisce	1	22	Cula4	Dr. Claw sends MADtana Dan to trigger a volcanic eruption in Hawaii.	Féachann an Dochtúir Damanta le bolcán a phléascadh i Haváí.
Gearóid na Gaisce	1	21	Cula4	Dr. Claw creates a device to turn off all the world's electronic gadgets.	Cruthaíonn an Dochtúir Damanta gaireas a chasann as gach gléas leictreonach ar domhan.
Gearóid na Gaisce	1	20	Cula4	In order to break into HQ, MAD creates an evil clone of Penny.	Déanann Dealg clón d'Aisling le briseadh isteach sa gCeanncheathrú.
Gearóid na Gaisce	1	19	Cula4	Dr. Claw steals the largest penny in the world.	Goideann Dealg an bonn is mó ar domhan.
Gearóid na Gaisce	1	18	Cula4	Brain gets a dose of MAD's new serum and turns into a werewolf.	Iompaíonn Glic isteach ina mhac tíre.
Gearóid na Gaisce	1	17	Cula4	Inspector Gadget is invited to deliver a speech at Villain University.	Tá lá oscailte sheanollscoil an Dochtúra Damanta ar siúl agus iarrtar ar Ghaisce óráid a thabhairt.
Dinosaur Train	2	26	Cula4	The Pteranodon family join Gilbert on the Dinosaur Train Submarine and they pay Shoshana Shonisaurus a visit.	Rachaidh muintir Pteranodon ar cuairt chuig Shoshana Shonisaurus in éineacht le Gilbert ar fhomhuireán Thraein na nDineasár. 
Dinosaur Train	2	25	Cula4	The Dinosaur Train Submarine go on a special trip to the bottom of the sea to visit Otto Opthalmosaurus.	Téann Fomhuireán Thraein na nDineasár ar thuras speisialta go bun na farraige chun cuairt a thabhairt ar Otto Opthalmosaurus.
Dinosaur Train	2	32	Cula4	The Dinosaur Train has all 26 dinosaurs mentioned in the `Dinosaurs A to Z' song on board. 	Tá Traein na nDineasár plódaithe ag 26 dineasár éagsúla a bheidh san amhrán "Aibítir na nDineasár”.  Tosaíonn Tiny ar an amhrán i mBaile Troodon agus glacann na dineasáir eile ar fad páirt ann.
Dinosaur Train	2	31	Cula4	The Pteranodon kids learn about classification, and Don leads the way organizing the dinosaurs on the train by their species, features, and size.	Foghlaimíonn na páistí faoi rangú agus tosaíonn Don ag eagrú na nDineasár ar an traein de réir a gcineál, a dtréithe agus a méide.
Dinosaur Train	2	30	Cula4	The Dinosaur Train continues travelling around the Mesozoic picking up more and more dinosaurs that are in the `Dinosaurs A to Z' song, on the way to a picnic at Troodon Town. 	An t-amhrán "Aibítir na nDineasár" a bheidh againn inniu.
Dinosaur Train	2	29	Cula4	Tiny gets the idea to gather all the dinosaurs in the 'Dinosaurs A to Z' song for a picnic at Troodon Town.  The Conductor agrees, and the Train starts picking up dinosaurs. 	Tá Tiny ag iarraidh na dineasáir ar fad atá in 'Aibítir na nDineasár' a bhailiú le chéile do phicnic i mbaile Troodon.  
Dinosaur Train	2	28	Cula4	Buddy expresses his feelings about being adopted to Tiny and Mrs. Pteranodon.	Insíonn Buddy do Tiny agus do Bhean Pteranodon faoin gcaoi a n-airíonn sé faoi gur uchtaithe atá sé. 

Dinosaur Train	2	22	Cula4	The Pteranodon family join the Lambeosaurus family at the big pond where they celebrate the Autumn moon celebration by decorating pumpkins.	Téann Muintir Pteranodon in éineacht le Muintir Lambeosaurus chuig an Linn Mhór chun Gealach an Fhómhair a cheiliúradh.
Dinosaur Train	2	21	Cula4	The kids take the Dinosaur Train all the way to the roundhouse which the troodons have decorated into a haunted house.	Tugann Traein na nDineasár na páistí chuig an teach cruinn a bhfuil teach taibhsí déanta de.
Dinosaur Train	2	20	Cula4	Two tourists named Tommy and Adam come from across the sea arriving at the Big Pond on a raft.	Rachaidh Tommy agus Adam ar thuras trasna na farraige chuig an Linn Mhór ar rafta.
Cat a' Hata	1	44	Cula4	Sally and Nick are going on an adventure but how are they going to get there?	Tá Sailí agus Nic ag dul ar eachtra, ach cén chaoi a rachaidh siad ann?
Cat a' Hata	1	43	Cula4	Nick has spotted a tiny ladybug but Sally has found an even smaller ant!	Tagann Nic ar bhóín Dé beag ach ansin feiceann Sailí seangán atá níos lú arís.
Cat a' Hata	1	46	Cula4	Nick and Sally are pretending to be lost adventurers when Sally wonders what to do if you really do get lost.	Tá Sailí agus Nic ag ligean orthu féin go bhfuil siad imithe amú. Ach cén chaoi a mbeadh sé i ndáiríre, dá ngabhfadh siad amú?
Cat a' Hata	1	47	Cula4	Sally is trying to grow a flower for her mom, but it just won't grow.	Tá Sailí ag iarraidh go bhfásfaidh an bláth a chuir sí dá máthair ach níl sé ag fás ar chor ar bith.
WAC	1	50	Cula4	In a land far, far away there is an animal kingdom, but who is the king? The WAC teams climb ladders, walk on all fours and eat some burgers to find which Jungle creature deserves the royal crown.	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar rí na dufaire.
WAC	1	49	Cula4	The contenders are shining their amour and sharpening their skills all in preparation for the ultimate battle but only one can take out the title - Ultimate Warrior! 	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar an laoch is mó i measc na n-ainmhithe.
WAC	1	48	Cula4	Which cold-blooded creature will ace WAC's trial and earn the title - Ultimate Reptile?	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar an Reiptíl is fearr ar domhan. 
WAC	1	47	Cula4	Tomaí, Éadaoin and Caoimhe tred through the world to find the most terrific tantrum-throwing animal, the Biggest Brat! 	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe is dána ar domhan. 
WAC	1	46	Cula4	Tomaí, Éadaoin and Caoimhe's senses are tingling. X-ray vision, heightened hearing, powerful navigation! The team set sight to sniff out the critter with the best Super Sense. 
	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe leis na céadfaí is fearr ar domhan.
WAC	1	45	Cula4	Tomaí, Éadaoin and Caoimhe set off on a leisurely pace to find the Chill Out Champ of the animal world.	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe is réchúisí ar domhan.
WAC	1	44	Cula4	Today's contenders slither, rattle and hiss their way through the WAC's criteria in a hope to secure the prize. 	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na nathracha nimhe is fearr ar domhan.
WAC	1	43	Cula4	Now you see me, now you don't! Which animal will win this week's challenge and which one won't! Tomaí, Éadaoin and Caoimhe look for the animal hardest to find, the Master of Disguise.	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe is fearr atá in ann iad féin a chur ó aithne.
Cat a' Hata	1	14	Cula4	Nick and Sally are playing hide-and-seek but Sally keeps getting found.	Tá Nic agus Sailí ag imirt folach bíog ach níl Sailí go maith ag dul i bhfolach. 
Cat a' Hata	1	13	Cula4	Sally and Nick are playing up in their tree house when Nick's mom calls them in for lunch. 	Bíonn Sailí agus Nic ag spraoi thuas sa teachín crainn nuair a ghlaonn máthair Nick orthu don lón.
Garfield	4	4	Cula4	Abigail, Winona, Garfield and Odie go on a strange journey to find three magic trinkets that Varicella wants. If she manages to get them she will be extremely powerful. 	Téann Abigail, Winona, Garfield agus Odie sa tóir ar thrí ní draíochta atá á lorg ag Varicella. Má fhaigheann sí greim orthu, beidh sí thar a bheith cumhachtach.
Garfield	4	5	Cula4	Varicella manages to get her hands on all the magic trinkets, and is about to turn everyone into a frog, when Abigail remembers something important about the most powerful magic of all.	Aimsíonn Varicella na trí ní draíochta agus bíonn sí ar tí frog a dhéanamh de gach duine nuair a chuimhníonn Abigail ar rud éigin.
Garfield	4	7	Cula4	Doctor Whipple and his men are doing their best to get rid of Jon, Odie and Garfield as Sheriff and deputies, but Garfield is having his own troubles in the local restaurant.	Féachann an Dochtúir Whipple agus a chuid fear le fáil réidh le Jon, Odie agus Garfield mar Shirriamaí agus Teachtaí, ach tá a chuid trioblóidí féin ag Garfield sa bhialann áitiúil.
Garfield	4	6	Cula4	Jon is chosen as the new Sheriff but Doc. Whipple wants to ensure he won't be there long, so he can get his hands on the map to the Glitter Gulch.	Is é Jon an sirriam nua ach ní bheidh an post sin i bhfad aige má tá aon neart ag an Dochtúir Whipple air. 
Olivia	1	3	Cula4	When Olivia's class holds a pet talent show, nobody can beat Francine's amazingly talented cat Gwendolyn.	Tá seó tallainne do pheataí ar siúl i rang Olivia ach níl aon pheata ann mar peata Fraincín. 
Olivia	1	4	Cula4	Olivia's lemonade stand is losing customers to Francine's pink lemonade stand. 	Níl ag éirí rómhaith le seastán líomanáide Olivia. 
Garfield	4	8	Cula4	Garfield wins against Bruno in an eating competition, but his troubles don't end there.	Buann Garfield comórtas ithe in aghaidh Bruno. Ach tá níos mó trioblóide amach roimhe.
Garfield	4	15	Cula4	Garfield and Odie are alone, and they have to find a way of keeping the secrets of the Lasagne Tree from Mama Meaney. 	Tá Garfield agus Odie leo féin, agus caithfidh siad rún an Chrainn Lasáinne a choinneáil ó Mhama Meaney.
Olivia	1	12	Cula4	Tired of having to share with her brother Ian, Olivia sets out on a trip around the block in search of a place free from little brothers.	Ní thaitníonn sé le Olivia go gcaithfidh sí a seomra a roinnt lena deartháir Cian.  Téann sí sa tóir ar áit nach bhfuil deartháireacha ar bith ann.  
Olivia	1	11	Cula4	While Olivia and her brothers play fortune teller, baby William accidentally breaks Dad's new bowling trophy.	Ligeann Olivia agus a cuid deartháireacha orthu féin go bhfuil fios acu. Briseann Liam trófaí babhlála Dhaidí trí thimpiste.
Garfield	4	14	Cula4	They eventually find the Lasagne Tree and it is the best lasagne Garfield has ever tasted, but Mama Meaney's men aren't far behind them.	Aimsíonn siad an Crann Lasáinne ar deireadh, agus tá an lasáinne ar an gceann is fearr ar bhlais Garfield de riamh. Ach tá fir Mama Meaney ag teacht suas leo.
Olivia	1	10	Cula4	Olivia is determined to dance just like the ballerinas she's seen in a ballet; the only thing she needs is a partner.	Tá Olivia ag iarraidh a bheith ina damhsóir bailé. Níl uaithi anois ach páirtí.
Cat a' Hata	1	41	Cula4	Nick and Sally can't find their sled that's buried under the snow. Cat's friend Magnus the reindeer is great at finding things in the snow.	Tá an sleamhnán caillte ag Nic agus Sailí sa sneachta. Iarrann siad cúnamh ar Mhagnus, mar go bhfuil sé iontach ag aimsiú rudaí.
Cat a' Hata	1	42	Cula4	Nick and Sally are playing soccer when their ball goes through a hole in their net. 	Nuair a bhíonn Nic agus Sailí ag imirt sacair, téann an liathróid tríd poll san eangach.
Gearóid na Gaisce	1	22	Cula4	Dr. Claw sends MADtana Dan to trigger a volcanic eruption in Hawaii.	Féachann an Dochtúir Damanta le bolcán a phléascadh i Haváí.
WAC	1	46	Cula4	Tomaí, Éadaoin and Caoimhe's senses are tingling. X-ray vision, heightened hearing, powerful navigation! The team set sight to sniff out the critter with the best Super Sense. 
	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe leis na céadfaí is fearr ar domhan.
Gearóid na Gaisce	1	21	Cula4	Dr. Claw creates a device to turn off all the world's electronic gadgets.	Cruthaíonn an Dochtúir Damanta gaireas a chasann as gach gléas leictreonach ar domhan.
WAC	1	45	Cula4	Tomaí, Éadaoin and Caoimhe set off on a leisurely pace to find the Chill Out Champ of the animal world.	Rachaidh Tomaí, Éadaoin agus Caoimhe sa tóir ar na hainmhithe is réchúisí ar domhan.
Garfield	4	13	Cula4	Jon, Garfield, Odie and Angelica follow Vito to Italy, but will they be able to find him in Venice? And where is the Lasagne Tree?	Leanann Jon, Garfield, Odie agus Angelica Vito chuig an Iodáil, ach an mbeidh siad in ann theacht ar Vito sa Veinéis? Agus céard faoin gCrann Lasáinne?

Olivia	1	9	Cula4	It's almost Christmas, and Olivia and Ian can't wait for Santa to come. 	Tá an Nollaig ag teannadh linn agus tá Olivia ag súil go mór le Daidí na Nollag.
Garfield	4	12	Cula4	Vito can't believe that a lasagne better than his exists, or that it grows on a tree, so he goes to Italy to find it.	Ní chreideann Vito go bhfuil lasáinne ann atá níos fearr ná a cheann féin, ná go bhfásann sé ar chrann, mar sin téann sé chuig an Iodáil chun é a fháil.
Cat a' Hata	1	28	Cula4	Nick is trying to hang onto the monkey bars but can't.	Níl Nic in ann greim a choinneáil ar na barraí moncaí.
Cat a' Hata	1	27	Cula4	The kids are decorating the tree house for a party. The Cat knows the world's most fantabulous decorator! 	Tá na gasúir ag maisiú an teachín crainn don chóisir. Tá aithne ag an gCat ar an maisitheoir is fearr ar domhan. 
Olivia	1	8	Cula4	When Mrs. Hogenmuller distributes seeds for a class garden project, Olivia just can't wait for her plants to grow.	Tugann an múinteoir síolta don rang agus is fada le Olivia go bhfásfaidh a cuid plandaí. 
Garfield	4	11	Cula4	Mama Meaney will do anything to get rid of every small Italian restaurant, and it's no coincidence that Vito's is suddenly full of rats!	Déanfaidh Mama Meaney rud ar bith chun gach bialann beag Iodálach a dhúnadh... agus ní haon timpiste é go bhfuil Tigh Vito lán le francaigh.
Olivia	1	7	Cula4	After a trip to the planetarium, Ian's knowledge about space and his peculiar behaviour lead Olivia to believe that her brother is an alien. 	Tá an oiread sin eolais ag Cian faoin spás tar éis turas chuig an bpláinéadlann go gceapann Olivia gur coimhthíoch é.
Garfield	4	10	Cula4	Doc Whipple and his men are in charge now that they've ousted Jon, Garfield and Odie. Doc finally has the map of Glitter Gulch, but is there any truth to the rumours that have been around for years?	Tá an Dochtúir Whipple agus a bhuíon i gceannas anois agus tá Jon, Garfield agus Odie curtha as post acu. Tá an mapa den Chumar drithleach ag Doc anois, ach an bhfuil fírinne ar bith leis na ráflaí meas tú?
Olivia	1	6	Cula4	When asked to give a presentation for her class's International Day, Olivia can't decide which country to choose. 	Iarrtar ar Olivia taispeántas a chur le chéile do Lá Idirnáisiúnta na Scoile ach níl a fhios aici cén tír a roghnóidh sí.
Garfield	4	9	Cula4	Arlene is on a runaway stagecoach and Garfield wants to get to her... but will he be able to save her?	Tá Arlena ar chóiste atá imithe ó smacht... An mbeidh Garfield in ann í a thabhairt slán?
Olivia	1	5	Cula4	On the looooong drive to Grandma's house, Olivia finds ways to pass the time.	Tá an t-aistear go dtí teach Mhamó an-fhada go deo. 
