t-ab	t̪ˠ a bˠ
d'fhíorach	dʲ iː ɾˠ a h
m'fhíorach	mʲ iː ɾˠ a h
b'fhiosrú	bʲ i sˠ ɾˠ uː
d'fhiosrú	dʲ i sˠ ɾˠ uː
m'fhiosrú	mʲ i sˠ ɾˠ uː
b'fhíric	bʲ iː ɾʲ i c
d'fhíric	dʲ iː ɾʲ i c
m'fhíric	mʲ iː ɾʲ i c
b'fhíseán	bʲ iː ʃ a n̻ˠ
d'fhíseán	dʲ iː ʃ a n̻ˠ
m'fhíseán	mʲ iː ʃ a n̻ˠ
b'fhocail	bˠ o k ə lʲ
d'fhocail	d̪ˠ o k ə lʲ
m'fhocail	mˠ o k ə lʲ
b'fhoghlaí	bˠ eː l̻ˠ iː
d'fhoghlaí	d̪ˠ eː l̻ˠ iː
m'fhoghlaí	mˠ eː l̻ˠ iː
b'fhoghlaithe	bˠ eː l̻ˠ iː
d'fhoghlaithe	d̪ˠ eː l̻ˠ iː
m'fhoghlaithe	mˠ eː l̻ˠ iː
b'fhógraí	bˠ oː ɡ ɾˠ iː
d'fhógraí	d̪ˠ oː ɡ ɾˠ iː
m'fhógraí	mˠ oː ɡ ɾˠ iː
b'fhóibe	bˠ oː bʲ ə
d'fhóibe	d̪ˠ oː bʲ ə
m'fhóibe	mˠ oː bʲ ə
b'fhoiche	bˠ o hʲ ə
d'fhoiche	d̪ˠ o hʲ ə
m'fhoiche	mˠ o hʲ ə
b'fhoilsiú	bˠ o lʲ ʃ uː
d'fhoilsiú	d̪ˠ o lʲ ʃ uː
m'fhoilsiú	mˠ o lʲ ʃ uː
b'fhoireann	ˈ bˠ o ɾʲ ə n̻ˠ
d'fhoireann	ˈ d̪ˠ o ɾʲ ə n̻ˠ
m'fhoireann	ˈ mˠ o ɾʲ ə n̻ˠ
b'fhoirfe	bˠ o ɾʲ ə fʲ ə
b'fhoirgneamh	bˠ o ɾʲ ə ɟ nʲ uː
d'fhoirgneamh	d̪ˠ o ɾʲ ə ɟ nʲ uː
m'fhoirgneamh	mˠ o ɾʲ ə ɟ nʲ uː
b'fhoirgnimh	bˠ o ɾʲ ə ɟ nʲ i vʲ
d'fhoirgnimh	d̪ˠ o ɾʲ ə ɟ nʲ i vʲ
m'fhoirgnimh	mˠ o ɾʲ ə ɟ nʲ i vʲ
b'fhoirne	bˠ o ɾˠ nʲ ə
d'fhoirne	d̪ˠ o ɾˠ nʲ ə
m'fhoirne	mˠ o ɾˠ nʲ ə
b'fholach	bˠ a l̻ˠ a h
d'fholach	d̪ˠ a l̻ˠ a h
m'fholach	mˠ a l̻ˠ a h
b'fholaigh	bˠ a l̻ˠ iː
d'fholaigh	d̪ˠ a l̻ˠ iː
m'fholaigh	mˠ a l̻ˠ iː
b'fholcadán	bˠ a l̻ˠ k ə d̪ˠ a n̻ˠ
d'fholcadán	d̪ˠ a l̻ˠ k ə d̪ˠ a n̻ˠ
m'fholcadán	mˠ a l̻ˠ k ə d̪ˠ a n̻ˠ
b'fholmhú	bˠ a l̻ˠ ə vˠ uː
d'fholmhú	d̪ˠ a l̻ˠ ə vˠ uː
m'fholmhú	mˠ a l̻ˠ ə vˠ uː
b'fhómhair	bˠ oː vˠ ə ɾʲ
d'fhómhair	d̪ˠ oː vˠ ə ɾʲ
m'fhómhair	mˠ oː vˠ ə ɾʲ
b'fhón	bˠ oː n̻ˠ
d'fhón	d̪ˠ oː n̻ˠ
m'fhón	mˠ oː n̻ˠ
b'fhoraois	ˈ bˠ a ɾˠ iː ʃ
d'fhoraois	ˈ d̪ˠ a ɾˠ iː ʃ
m'fhoraois	ˈ mˠ a ɾˠ iː ʃ
b'fhorbairt	bˠ a ɾˠ ə bˠ ə ɾˠ tʲ
d'fhorbairt	d̪ˠ a ɾˠ ə bˠ ə ɾˠ tʲ
m'fhorbairt	mˠ a ɾˠ ə bˠ ə ɾˠ tʲ
b'fhornocht	bˠ a ɾˠ n̻ˠ ə ɾˠ t̪ˠ
b'fhórsaí	bˠ oː ɾˠ sˠ iː
d'fhórsaí	d̪ˠ oː ɾˠ sˠ iː
m'fhórsaí	mˠ oː ɾˠ sˠ iː
b'fhorshonach	bˠ a ɾˠ h ə n̻ˠ a h
b'fhostú	bˠ a sˠ t̪ˠ uː
d'fhostú	d̪ˠ a sˠ t̪ˠ uː
m'fhostú	mˠ a sˠ t̪ˠ uː
b'fhuaim	bˠ ua mʲ
d'fhuaim	d̪ˠ ua mʲ
m'fhuaim	mˠ ua mʲ
b'fhuar	bˠ ua ɾˠ
b'fhuarú	bˠ ua ɾˠ uː
d'fhuarú	d̪ˠ ua ɾˠ uː
m'fhuarú	mˠ ua ɾˠ uː
b'fhuil	ˈ bˠ i lʲ
d'fhuil	ˈ d̪ˠ i lʲ
m'fhuil	ˈ mˠ i lʲ
b'fhuinneamh	bˠ i n̻ʲ uː
d'fhuinneamh	d̪ˠ i n̻ʲ uː
m'fhuinneamh	mˠ i n̻ʲ uː
b'fhuinneog	bˠ i n̻ʲ o ɡ
d'fhuinneog	d̪ˠ i n̻ʲ o ɡ
m'fhuinneog	mˠ i n̻ʲ o ɡ
b'fhuinnimh	bˠ i n̻ʲ i vʲ
d'fhuinnimh	d̪ˠ i n̻ʲ i vʲ
m'fhuinnimh	mˠ i n̻ʲ i vʲ
d'fhulaing	d̪ˠ u l̻ˠ ə ɲ
t-iallach	ˈ tʲ ia l̻ˠ a h
b'iallach	ˈ bʲ ia l̻ˠ a h
n-iallach	ˈ nʲ ia l̻ˠ a h
d'iallach	ˈ dʲ ia l̻ˠ a h
m'iallach	ˈ mʲ ia l̻ˠ a h
b'ialtóga	bʲ ia l̻ˠ t̪ˠ oː ɡ ə
n-ialtóga	nʲ ia l̻ˠ t̪ˠ oː ɡ ə
d'ialtóga	dʲ ia l̻ˠ t̪ˠ oː ɡ ə
m'ialtóga	mʲ ia l̻ˠ t̪ˠ oː ɡ ə
b'ialtóige	bʲ ia l̻ˠ t̪ˠ oː ɟ ə
n-ialtóige	nʲ ia l̻ˠ t̪ˠ oː ɟ ə
d'ialtóige	dʲ ia l̻ˠ t̪ˠ oː ɟ ə
m'ialtóige	mʲ ia l̻ˠ t̪ˠ oː ɟ ə
b'iargúil	ˈ bʲ ia ɾˠ ˈ ɡ uː lʲ
n-iargúil	ˈ nʲ ia ɾˠ ˈ ɡ uː lʲ
d'iargúil	ˈ dʲ ia ɾˠ ˈ ɡ uː lʲ
m'iargúil	ˈ mʲ ia ɾˠ ˈ ɡ uː lʲ
b'iarrachta	bʲ ia ɾˠ ə ɾˠ t̪ˠ ə
n-iarrachta	nʲ ia ɾˠ ə ɾˠ t̪ˠ ə
d'iarrachta	dʲ ia ɾˠ ə ɾˠ t̪ˠ ə
m'iarrachta	mʲ ia ɾˠ ə ɾˠ t̪ˠ ə
b'iarrachtaí	bʲ ia ɾˠ ə ɾˠ t̪ˠ iː
n-iarrachtaí	nʲ ia ɾˠ ə ɾˠ t̪ˠ iː
d'iarrachtaí	dʲ ia ɾˠ ə ɾˠ t̪ˠ iː
m'iarrachtaí	mʲ ia ɾˠ ə ɾˠ t̪ˠ iː
n-iarradh	ˈ nʲ ia ɾˠ uː
d'iarradh	ˈ dʲ ia ɾˠ uː
n-iarraigí	nʲ ia ɾˠ ə ɟ iː
n-iarraim	nʲ ia ɾˠ ə mʲ
n-iarrfaidh	nʲ ia ɾ̥ˠ iː
t-iarrthóir	ˈ tʲ ia ɾˠ h o ɾʲ
b'iarrthóir	ˈ bʲ ia ɾˠ h o ɾʲ
n-iarrthóir	ˈ nʲ ia ɾˠ h o ɾʲ
d'iarrthóir	ˈ dʲ ia ɾˠ h o ɾʲ
m'iarrthóir	ˈ mʲ ia ɾˠ h o ɾʲ
b'iarthair	bʲ ia ɾ̥ˠ ə ɾʲ
n-iarthair	nʲ ia ɾ̥ˠ ə ɾʲ
d'iarthair	dʲ ia ɾ̥ˠ ə ɾʲ
m'iarthair	mʲ ia ɾ̥ˠ ə ɾʲ
n-ídímid	nʲ iː dʲ iː mʲ i dʲ
b'idirbheartaíocht	bʲ i dʲ i ɾʲ ə vʲ ə ɾˠ t̪ˠ ia h t̪ˠ
n-idirbheartaíocht	nʲ i dʲ i ɾʲ ə vʲ ə ɾˠ t̪ˠ ia h t̪ˠ
d'idirbheartaíocht	dʲ i dʲ i ɾʲ ə vʲ ə ɾˠ t̪ˠ ia h t̪ˠ
m'idirbheartaíocht	mʲ i dʲ i ɾʲ ə vʲ ə ɾˠ t̪ˠ ia h t̪ˠ
t-ídiú	tʲ iː dʲ uː
b'ídiú	bʲ iː dʲ uː
n-ídiú	nʲ iː dʲ uː
d'ídiú	dʲ iː dʲ uː
m'ídiú	mʲ iː dʲ uː
b'ildánach	ˈ bʲ i l̻ˠ ˈ d̪ˠ aː n̻ˠ a h
n-ildánach	ˈ nʲ i l̻ˠ ˈ d̪ˠ aː n̻ˠ a h
b'ildánaí	bʲ i lʲ dʲ aː n̻ˠ iː
n-ildánaí	nʲ i lʲ dʲ aː n̻ˠ iː
b'ildathach	ˈ bʲ i l̻ˠ ˈ d̪ˠ a h a h
n-ildathach	ˈ nʲ i l̻ˠ ˈ d̪ˠ a h a h
b'imeaglach	ˈ bʲ i mʲ ˈ a ɡ l̻ˠ a h
n-imeaglach	ˈ nʲ i mʲ ˈ a ɡ l̻ˠ a h
t-imeaglú	tʲ i mʲ ə ɡ l̻ˠ uː
b'imeaglú	bʲ i mʲ ə ɡ l̻ˠ uː
n-imeaglú	nʲ i mʲ ə ɡ l̻ˠ uː
d'imeaglú	dʲ i mʲ ə ɡ l̻ˠ uː
m'imeaglú	mʲ i mʲ ə ɡ l̻ˠ uː
n-imeoidh	nʲ i mʲ o j
n-imeoimid	nʲ i mʲ oː mʲ i dʲ
n-imím	nʲ i mʲ iː mʲ
n-imíodh	nʲ i mʲ iː uː
d'imíodh	dʲ i mʲ iː uː
n-imíonn	nʲ i mʲ iː n̻ˠ
n-impím	nʲ i mʲ pʲ iː mʲ
t-imreasc	ˈ tʲ i mʲ ɾʲ ə sˠ k
b'imreasc	ˈ bʲ i mʲ ɾʲ ə sˠ k
n-imreasc	ˈ nʲ i mʲ ɾʲ ə sˠ k
d'imreasc	ˈ dʲ i mʲ ɾʲ ə sˠ k
m'imreasc	ˈ mʲ i mʲ ɾʲ ə sˠ k
n-imreoidh	nʲ i mʲ ɾʲ o j
n-imreoimid	nʲ i mʲ ɾʲ oː mʲ i dʲ
b'imreoirí	bʲ i mʲ ɾʲ oː ɾʲ iː
n-imreoirí	nʲ i mʲ ɾʲ oː ɾʲ iː
d'imreoirí	dʲ i mʲ ɾʲ oː ɾʲ iː
m'imreoirí	mʲ i mʲ ɾʲ oː ɾʲ iː
n-imrím	ˈ nʲ i mʲ ɾʲ i mʲ
n-imríonn	nʲ i mʲ ɾʲ iː n̻ˠ
n-imrítear	nʲ i mʲ ɾʲ iː tʲ ə ɾˠ
b'imtharraingt	ˈ bʲ i mʲ ˈ h a ɾˠ ə n̻ʲ tʲ
n-imtharraingt	ˈ nʲ i mʲ ˈ h a ɾˠ ə n̻ʲ tʲ
d'imtharraingt	ˈ dʲ i mʲ ˈ h a ɾˠ ə n̻ʲ tʲ
m'imtharraingt	ˈ mʲ i mʲ ˈ h a ɾˠ ə n̻ʲ tʲ
b'infheisteoirí	bʲ i nʲ ə ʃ tʲ oː ɾʲ iː
n-infheisteoirí	nʲ i nʲ ə ʃ tʲ oː ɾʲ iː
d'infheisteoirí	dʲ i nʲ ə ʃ tʲ oː ɾʲ iː
m'infheisteoirí	mʲ i nʲ ə ʃ tʲ oː ɾʲ iː
b'ingne	bʲ ˌ i ɲ ˈ nʲ ə
n-ingne	nʲ ˌ i ɲ ˈ nʲ ə
d'ingne	dʲ ˌ i ɲ ˈ nʲ ə
m'ingne	mʲ ˌ i ɲ ˈ nʲ ə
t-inne	ˈ tʲ i n̻ʲ ə
b'inne	ˈ bʲ i n̻ʲ ə
n-inne	ˈ nʲ i n̻ʲ ə
d'inne	ˈ dʲ i n̻ʲ ə
m'inne	ˈ mʲ i n̻ʲ ə
b'innealtóirí	bʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ iː
n-innealtóirí	nʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ iː
d'innealtóirí	dʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ iː
m'innealtóirí	mʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ iː
b'inneonach	bʲ i n̻ʲ oː n̻ˠ a h
n-inneonach	nʲ i n̻ʲ oː n̻ˠ a h
d'inneonach	dʲ i n̻ʲ oː n̻ˠ a h
m'inneonach	mʲ i n̻ʲ oː n̻ˠ a h
n-inseodh	nʲ i nʲ ʃ o
d'inseodh	dʲ i nʲ ʃ o
n-inseofar	nʲ i nʲ ʃ oː fˠ ə ɾˠ
n-inseoidh	nʲ ˌ i n̻ʲ ˈ ʃ oː
n-insím	nʲ i nʲ ʃ iː mʲ
n-insíonn	nʲ ˌ i nʲ ˈ ʃ iː n̻ˠ
t-insliú	tʲ ˌ i nʲ ˈ ʃ lʲ uː
b'insliú	bʲ ˌ i nʲ ˈ ʃ lʲ uː
n-insliú	nʲ ˌ i nʲ ˈ ʃ lʲ uː
d'insliú	dʲ ˌ i nʲ ˈ ʃ lʲ uː
m'insliú	mʲ ˌ i nʲ ˈ ʃ lʲ uː
b'inspioráid	ˈ bʲ i n̻ˠ sˠ pʲ ə ɾˠ a dʲ
n-inspioráid	ˈ nʲ i n̻ˠ sˠ pʲ ə ɾˠ a dʲ
d'inspioráid	ˈ dʲ i n̻ˠ sˠ pʲ ə ɾˠ a dʲ
m'inspioráid	ˈ mʲ i n̻ˠ sˠ pʲ ə ɾˠ a dʲ
b'inspioráide	bʲ i nʲ ʃ pʲ i ɾˠ aː dʲ ə
n-inspioráide	nʲ i nʲ ʃ pʲ i ɾˠ aː dʲ ə
d'inspioráide	dʲ i nʲ ʃ pʲ i ɾˠ aː dʲ ə
m'inspioráide	mʲ i nʲ ʃ pʲ i ɾˠ aː dʲ ə
b'inste	ˈ bʲ i n̻ʲ ʃ tʲ ə
n-inste	ˈ nʲ i n̻ʲ ʃ tʲ ə
b'íobairt	ˈ bʲ iː bˠ ə ɾˠ tʲ
n-íobairt	ˈ nʲ iː bˠ ə ɾˠ tʲ
d'íobairt	ˈ dʲ iː bˠ ə ɾˠ tʲ
m'íobairt	ˈ mʲ iː bˠ ə ɾˠ tʲ
t-íobartach	ˈ tʲ iː bˠ ə ɾˠ t̪ˠ a h
b'íobartach	ˈ bʲ iː bˠ ə ɾˠ t̪ˠ a h
n-íobartach	ˈ nʲ iː bˠ ə ɾˠ t̪ˠ a h
d'íobartach	ˈ dʲ iː bˠ ə ɾˠ t̪ˠ a h
m'íobartach	ˈ mʲ iː bˠ ə ɾˠ t̪ˠ a h
n-íocann	nʲ iː k ə n̻ˠ
n-íocfaidh	nʲ iː k iː
b'iodálacha	bʲ i d̪ˠ aː l̻ˠ a h ə
n-iodálacha	nʲ i d̪ˠ aː l̻ˠ a h ə
t-íoglú	ˈ tʲ iː ɡ l̻ˠ uː
b'íoglú	ˈ bʲ iː ɡ l̻ˠ uː
n-íoglú	ˈ nʲ iː ɡ l̻ˠ uː
d'íoglú	ˈ dʲ iː ɡ l̻ˠ uː
m'íoglú	ˈ mʲ iː ɡ l̻ˠ uː
t-íol	tʲ iː l̻ˠ
b'íol	bʲ iː l̻ˠ
n-íol	nʲ iː l̻ˠ
d'íol	dʲ iː l̻ˠ
m'íol	mʲ iː l̻ˠ
b'iománaíochta	bʲ i mˠ aː n̻ˠ ia h t̪ˠ ə
n-iománaíochta	nʲ i mˠ aː n̻ˠ ia h t̪ˠ ə
d'iománaíochta	dʲ i mˠ aː n̻ˠ ia h t̪ˠ ə
m'iománaíochta	mʲ i mˠ aː n̻ˠ ia h t̪ˠ ə
b'iomarcach	ˈ bʲ i mˠ ə ɾˠ k a h
n-iomarcach	ˈ nʲ i mˠ ə ɾˠ k a h
n-iompaíodh	nʲ i mˠ pˠ iː uː
d'iompaíodh	dʲ i mˠ pˠ iː uː
n-iompaíonn	nʲ i mˠ pˠ ia n̻ˠ
n-iompóidh	nʲ i mˠ pˠ o j
n-iompraíonn	nʲ i mˠ pˠ ɾˠ ia n̻ˠ
n-iompraítear	nʲ i mˠ pˠ ɾˠ iː tʲ ə ɾˠ
n-iompróidh	nʲ i mˠ pˠ ɾˠ o j
n-iompróimid	nʲ i mˠ pˠ ɾˠ oː mʲ i dʲ
t-iomrall	ˈ tʲ i mˠ ɾˠ ə l̻ˠ
b'iomrall	ˈ bʲ i mˠ ɾˠ ə l̻ˠ
n-iomrall	ˈ nʲ i mˠ ɾˠ ə l̻ˠ
d'iomrall	ˈ dʲ i mˠ ɾˠ ə l̻ˠ
m'iomrall	ˈ mʲ i mˠ ɾˠ ə l̻ˠ
b'iomrascáil	ˈ bʲ i mˠ ɾˠ ə sˠ ˌ k a lʲ
n-iomrascáil	ˈ nʲ i mˠ ɾˠ ə sˠ ˌ k a lʲ
d'iomrascáil	ˈ dʲ i mˠ ɾˠ ə sˠ ˌ k a lʲ
m'iomrascáil	ˈ mʲ i mˠ ɾˠ ə sˠ ˌ k a lʲ
b'ionadaíocht	ˈ bʲ i n̻ˠ ə d̪ˠ iː a x t̪ˠ
n-ionadaíocht	ˈ nʲ i n̻ˠ ə d̪ˠ iː a x t̪ˠ
d'ionadaíocht	ˈ dʲ i n̻ˠ ə d̪ˠ iː a x t̪ˠ
m'ionadaíocht	ˈ mʲ i n̻ˠ ə d̪ˠ iː a x t̪ˠ
b'iondúil	bʲ ˌ i n̻ˠ ˈ d̪ˠ uː lʲ
n-iondúil	nʲ ˌ i n̻ˠ ˈ d̪ˠ uː lʲ
n-ionsaígí	nʲ i n̻ˠ sˠ iː ɟ iː
n-ionsaíonn	nʲ i n̻ˠ sˠ ia n̻ˠ
n-ionsaítear	nʲ i n̻ˠ sˠ iː tʲ ə ɾˠ
t-ionsaitheoir	ˈ tʲ i n̻ˠ sˠ i hʲ o ɾʲ
b'ionsaitheoir	ˈ bʲ i n̻ˠ sˠ i hʲ o ɾʲ
n-ionsaitheoir	ˈ nʲ i n̻ˠ sˠ i hʲ o ɾʲ
d'ionsaitheoir	ˈ dʲ i n̻ˠ sˠ i hʲ o ɾʲ
m'ionsaitheoir	ˈ mʲ i n̻ˠ sˠ i hʲ o ɾʲ
b'ionsaitheoirí	bʲ i n̻ˠ sˠ ai ç oː ɾʲ iː
n-ionsaitheoirí	nʲ i n̻ˠ sˠ ai ç oː ɾʲ iː
d'ionsaitheoirí	dʲ i n̻ˠ sˠ ai ç oː ɾʲ iː
m'ionsaitheoirí	mʲ i n̻ˠ sˠ ai ç oː ɾʲ iː
t-ionsú	tʲ i n̻ˠ sˠ uː
b'ionsú	bʲ i n̻ˠ sˠ uː
n-ionsú	nʲ i n̻ˠ sˠ uː
d'ionsú	dʲ i n̻ˠ sˠ uː
m'ionsú	mʲ i n̻ˠ sˠ uː
b'iontacha	bʲ i n̻ˠ t̪ˠ a h ə
n-iontacha	nʲ i n̻ˠ t̪ˠ a h ə
b'iontaí	ˈ bʲ i n̻ˠ t̪ˠ iː
n-iontaí	ˈ nʲ i n̻ˠ t̪ˠ iː
b'iontaigh	bʲ i n̻ˠ t̪ˠ iː
n-iontaigh	nʲ i n̻ˠ t̪ˠ iː
b'iontaisí	bʲ i n̻ˠ t̪ˠ ə ʃ iː
n-iontaisí	nʲ i n̻ˠ t̪ˠ ə ʃ iː
d'iontaisí	dʲ i n̻ˠ t̪ˠ ə ʃ iː
m'iontaisí	mʲ i n̻ˠ t̪ˠ ə ʃ iː
b'ioraí	bʲ i ɾˠ iː
n-ioraí	nʲ i ɾˠ iː
d'ioraí	dʲ i ɾˠ iː
m'ioraí	mʲ i ɾˠ iː
n-íosfá	nʲ iː sˠ aː
d'íosfá	dʲ iː sˠ aː
n-íosfadh	nʲ iː sˠ uː
d'íosfadh	dʲ iː sˠ uː
n-íosfaidh	ˈ nʲ iː sˠ iː
n-íosfaimid	nʲ iː sˠ ə mʲ i dʲ
n-íosfainn	nʲ iː sˠ ə n̻ʲ
d'íosfainn	dʲ iː sˠ ə n̻ʲ
b'irisí	bʲ i ɾʲ i ʃ iː
n-irisí	nʲ i ɾʲ i ʃ iː
d'irisí	dʲ i ɾʲ i ʃ iː
m'irisí	mʲ i ɾʲ i ʃ iː
b'irisleabhair	bʲ i ɾʲ i ʃ lʲ oː ɾʲ
n-irisleabhair	nʲ i ɾʲ i ʃ lʲ oː ɾʲ
d'irisleabhair	dʲ i ɾʲ i ʃ lʲ oː ɾʲ
m'irisleabhair	mʲ i ɾʲ i ʃ lʲ oː ɾʲ
n-íslím	nʲ iː ʃ lʲ iː mʲ
n-íslíonn	nʲ iː ʃ lʲ iː n̻ˠ
b'ispíní	bʲ i ʃ pʲ iː nʲ iː
n-ispíní	nʲ i ʃ pʲ iː nʲ iː
d'ispíní	dʲ i ʃ pʲ iː nʲ iː
m'ispíní	mʲ i ʃ pʲ iː nʲ iː
b'ite	bʲ i tʲ ə
n-ite	nʲ i tʲ ə
n-itear	nʲ i tʲ ə ɾˠ
t-iteoir	tʲ i tʲ o ɾʲ
b'iteoir	bʲ i tʲ o ɾʲ
n-iteoir	nʲ i tʲ o ɾʲ
d'iteoir	dʲ i tʲ o ɾʲ
m'iteoir	mʲ i tʲ o ɾʲ
n-itheann	nʲ i hʲ ə n̻ˠ
n-ithigí	nʲ i hʲ i ɟ iː
n-ithim	ˈ nʲ i hʲ ə mʲ
b'ócáide	bˠ oː k aː dʲ ə
n-ócáide	n̻ˠ oː k aː dʲ ə
d'ócáide	d̪ˠ oː k aː dʲ ə
m'ócáide	mˠ oː k aː dʲ ə
b'ócáidí	bˠ oː k aː dʲ iː
n-ócáidí	n̻ˠ oː k aː dʲ iː
d'ócáidí	d̪ˠ oː k aː dʲ iː
m'ócáidí	mˠ oː k aː dʲ iː
b'ochtapais	bˠ o ɾˠ t̪ˠ ə pˠ ə ʃ
n-ochtapais	n̻ˠ o ɾˠ t̪ˠ ə pˠ ə ʃ
d'ochtapais	d̪ˠ o ɾˠ t̪ˠ ə pˠ ə ʃ
m'ochtapais	mˠ o ɾˠ t̪ˠ ə pˠ ə ʃ
b'ochtóidí	bˠ o ɾˠ t̪ˠ oː dʲ iː
n-ochtóidí	n̻ˠ o ɾˠ t̪ˠ oː dʲ iː
d'ochtóidí	d̪ˠ o ɾˠ t̪ˠ oː dʲ iː
m'ochtóidí	mˠ o ɾˠ t̪ˠ oː dʲ iː
b'ocracha	bˠ o k ɾˠ a h ə
n-ocracha	n̻ˠ o k ɾˠ a h ə
b'ógánaigh	bˠ oː ɡ aː n̻ˠ iː
n-ógánaigh	n̻ˠ oː ɡ aː n̻ˠ iː
d'ógánaigh	d̪ˠ oː ɡ aː n̻ˠ iː
m'ógánaigh	mˠ oː ɡ aː n̻ˠ iː
n-oibreodh	n̻ˠ o bʲ ɾʲ o
d'oibreodh	d̪ˠ o bʲ ɾʲ o
n-oibreoidh	n̻ˠ o bʲ ɾʲ o j
n-oibreoinn	n̻ˠ o bʲ ɾʲ o n̻ʲ
d'oibreoinn	d̪ˠ o bʲ ɾʲ o n̻ʲ
n-oibríonn	n̻ˠ o bʲ ɾʲ iː n̻ˠ
b'oícheanta	bˠ iː ç ə n̻ˠ t̪ˠ ə
n-oícheanta	n̻ˠ iː ç ə n̻ˠ t̪ˠ ə
d'oícheanta	d̪ˠ iː ç ə n̻ˠ t̪ˠ ə
m'oícheanta	mˠ iː ç ə n̻ˠ t̪ˠ ə
t-oidhre	ˈ t̪ˠ ai  ɾʲ ə
b'oidhre	ˈ bˠ ai  ɾʲ ə
n-oidhre	ˈ n̻ˠ ai  ɾʲ ə
d'oidhre	ˈ d̪ˠ ai  ɾʲ ə
m'oidhre	ˈ mˠ ai  ɾʲ ə
b'oidis	bˠ o dʲ i ʃ
n-oidis	n̻ˠ o dʲ i ʃ
d'oidis	d̪ˠ o dʲ i ʃ
m'oidis	mˠ o dʲ i ʃ
b'oifigiúla	bˠ o fʲ i ɟ uː l̻ˠ ə
n-oifigiúla	n̻ˠ o fʲ i ɟ uː l̻ˠ ə
b'óig	ˈ bˠ oː ɟ
n-óig	ˈ n̻ˠ oː ɟ
d'óig	ˈ d̪ˠ oː ɟ
m'óig	ˈ mˠ oː ɟ
b'oilc	bˠ o lʲ c
n-oilc	n̻ˠ o lʲ c
d'oilc	d̪ˠ o lʲ c
m'oilc	mˠ o lʲ c
b'óinsí	bˠ oː nʲ ʃ iː
n-óinsí	n̻ˠ oː nʲ ʃ iː
d'óinsí	d̪ˠ oː nʲ ʃ iː
m'óinsí	mˠ oː nʲ ʃ iː
n-oireann	n̻ˠ o ɾʲ ə n̻ˠ
t-oisín	t̪ˠ o ʃ iː nʲ
b'oisín	bˠ o ʃ iː nʲ
n-oisín	n̻ˠ o ʃ iː nʲ
d'oisín	d̪ˠ o ʃ iː nʲ
m'oisín	mˠ o ʃ iː nʲ
t-oisín	t̪ˠ o ʃ iː nʲ
b'oisín	bˠ o ʃ iː nʲ
n-oisín	n̻ˠ o ʃ iː nʲ
d'oisín	d̪ˠ o ʃ iː nʲ
m'oisín	mˠ o ʃ iː nʲ
n-óladh	n̻ˠ oː l̻ˠ uː
d'óladh	d̪ˠ oː l̻ˠ uː
n-ólaim	n̻ˠ oː l̻ˠ ə mʲ
n-ólann	n̻ˠ oː l̻ˠ ə n̻ˠ
b'olca	bˠ a l̻ˠ k ə
n-olca	n̻ˠ a l̻ˠ k ə
b'olcais	bˠ a l̻ˠ k ə ʃ
n-olcais	n̻ˠ a l̻ˠ k ə ʃ
d'olcais	d̪ˠ a l̻ˠ k ə ʃ
m'olcais	mˠ a l̻ˠ k ə ʃ
b'ollmhóra	bˠ a l̻ˠ ə vˠ oː ɾˠ ə
n-ollmhóra	n̻ˠ a l̻ˠ ə vˠ oː ɾˠ ə
b'ollphéisteanna	bˠ a l̻ʲ fʲ eː ʃ tʲ ə n̻ˠ ə
n-ollphéisteanna	n̻ˠ a l̻ʲ fʲ eː ʃ tʲ ə n̻ˠ ə
d'ollphéisteanna	d̪ˠ a l̻ʲ fʲ eː ʃ tʲ ə n̻ˠ ə
m'ollphéisteanna	mˠ a l̻ʲ fʲ eː ʃ tʲ ə n̻ˠ ə
b'ológa	bˠ a l̻ˠ oː ɡ ə
n-ológa	n̻ˠ a l̻ˠ oː ɡ ə
d'ológa	d̪ˠ a l̻ˠ oː ɡ ə
m'ológa	mˠ a l̻ˠ oː ɡ ə
n-óltar	n̻ˠ oː l̻ˠ t̪ˠ ə ɾˠ
t-ómra	ˈ t̪ˠ oː mˠ  ɾˠ ə
b'ómra	ˈ bˠ oː mˠ  ɾˠ ə
n-ómra	ˈ n̻ˠ oː mˠ  ɾˠ ə
d'ómra	ˈ d̪ˠ oː mˠ  ɾˠ ə
m'ómra	ˈ mˠ oː mˠ  ɾˠ ə
t-oragán	t̪ˠ a ɾˠ ə ɡ a n̻ˠ
b'oragán	bˠ a ɾˠ ə ɡ a n̻ˠ
n-oragán	n̻ˠ a ɾˠ ə ɡ a n̻ˠ
d'oragán	d̪ˠ a ɾˠ ə ɡ a n̻ˠ
m'oragán	mˠ a ɾˠ ə ɡ a n̻ˠ
t-óráidí	ˈ t̪ˠ oː  ɾˠ a  dʲ iː
b'óráidí	ˈ bˠ oː  ɾˠ a  dʲ iː
n-óráidí	ˈ n̻ˠ oː  ɾˠ a  dʲ iː
d'óráidí	ˈ d̪ˠ oː  ɾˠ a  dʲ iː
m'óráidí	ˈ mˠ oː  ɾˠ a  dʲ iː
